School,School County,LC sits 2021,2021 100% sits,2020 100% sits,DCU,Maynooth University,NUIG,Trinity,UCC,UCD,University of Limerick,RCSI,TU Dublin,MTU,TUS,Dundalk  IT,Galway-Mayo  IT,Dun Laoghaire  IADT,IT  Carlow,IT  Sligo,Letterkenny  IT,Waterford  IT,Marino Institute of Education,Mary Immaculate College,National College of Art & Design,"St Angela's College, Sligo",National College of Ireland,"St Patrick's, Carlow",DBS,Griffith College,"Queen's University, Belfast",University of Ulster
Portlaoise College,Co. Kilkenny,83,66%,54%,4,7,0,1,3,2,6,0,4,0,7,0,0,0,12,1,0,5,0,1,0,0,0,1,1,0,0,0
"St Fergal's College, Rathdowney",Co. Kilkenny,39,56%,71%,0,3,1,1,0,1,3,0,0,1,3,0,0,1,1,0,0,4,0,3,0,0,0,0,0,0,0,0
Mountmellick Community School,Co. Kilkenny,77,51%,57%,1,2,2,1,0,4,6,0,1,0,7,0,2,1,2,0,0,5,1,3,0,0,0,1,0,0,0,0
Mohill Community College,"Co. Leitrim
",64,83%,73%,6,8,13,1,0,1,2,0,0,0,5,0,4,0,0,6,2,0,3,0,0,1,0,0,1,0,0,0
Carrick on Shannon Community School,"Co. Leitrim
",103,80%,100%,6,9,13,1,0,3,11,0,4,1,6,1,7,0,0,13,1,2,0,1,0,0,1,0,0,0,2,0
Drumshanbo Vocational School,"Co. Leitrim
",47,77%,71%,5,0,9,0,0,5,3,0,2,0,1,0,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0
Ballinamore Community School,"Co. Leitrim
",64,77%,100%,12,8,3,1,1,2,2,1,6,0,2,0,2,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1
"St Clare's Comprehensive School, Manorhamilton","Co. Leitrim
",75,64%,84%,4,2,4,1,1,5,1,0,1,0,0,0,5,0,0,10,10,1,0,0,0,1,0,0,0,0,1,1
"Lough Allen College, Drumkeerin","Co. Leitrim
",27,63%,75%,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0
Carrigallen Vocational School,"Co. Leitrim
",53,62%,61%,5,3,4,1,0,2,1,0,0,0,1,3,6,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0
"Ardscoil Rís, Limerick",Co. Limerick,117,100%,93%,0,3,4,2,10,2,56,0,1,2,34,1,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
"Glenstal Abbey, Murroe",Co. Limerick,37,97%,86%,1,0,1,17,2,3,5,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laurel Hill, Coláiste FCJ, Limerick",Co. Limerick,71,97%,100%,1,1,15,1,8,3,28,0,0,1,3,0,2,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0
Castletroy Community College,Co. Limerick,193,94%,88%,2,2,22,3,9,4,74,0,1,6,47,0,0,0,0,0,0,1,0,8,0,1,0,0,1,0,0,1
"Gaelcholáiste Luimnigh, Limerick",Co. Limerick,102,93%,98%,0,0,5,2,5,2,48,0,0,0,17,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,1
"Laurel Hill Secondary School, Limerick",Co. Limerick,117,92%,100%,2,0,5,1,6,2,48,0,1,2,17,0,1,0,0,0,0,1,1,21,0,0,0,0,0,0,0,0
"Hazelwood College, Dromcollogher",Co. Limerick,93,90%,77%,2,0,2,1,10,0,18,0,1,21,16,0,0,0,0,0,0,3,0,9,0,1,0,0,0,0,0,0
"Villiers School, Limerick",Co. Limerick,81,88%,99%,3,1,5,1,6,7,21,0,2,1,17,0,3,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
"Crescent College Comprehensive,  Dooradoyle",Co. Limerick,147,86%,100%,0,0,4,1,10,3,64,0,1,4,27,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"John The Baptist Community School, Hospital",Co. Limerick,188,86%,84%,0,3,8,1,9,5,50,1,0,5,44,0,4,0,0,1,0,7,0,19,0,3,0,0,1,0,0,0
"Coláiste Íde And Iosef, Abbeyfeale",Co. Limerick,112,84%,84%,0,1,2,1,11,0,25,0,0,30,8,0,2,0,1,0,0,1,0,12,0,0,0,0,0,0,0,0
"Scoil Na Tríonóide Naofa, Doon",Co. Limerick,99,82%,68%,0,0,2,1,7,0,27,0,0,4,25,0,0,0,0,0,1,7,0,7,0,0,0,0,0,0,0,0
"Salesian Secondary, Pallaskenry",Co. Limerick,106,80%,94%,0,0,6,0,7,1,30,0,0,3,23,0,2,0,0,0,1,2,0,9,0,1,0,0,0,0,0,0
"Coláiste Iósaef, Kilmallock",Co. Limerick,52,77%,75%,0,0,3,0,4,0,10,0,0,6,13,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"St Munchin's College, Limerick",Co. Limerick,100,76%,80%,0,0,2,0,2,1,41,0,0,2,20,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0
"Mercy Community College, Rathkeale",Co. Limerick,83,75%,92%,0,0,2,1,9,1,10,0,1,11,19,0,0,0,1,0,0,0,2,4,0,0,0,0,0,1,0,0
"Thomond Community College, Moylish",Co. Limerick,42,74%,58%,0,0,0,0,0,0,6,0,0,1,19,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"Scoil Mhuire Agus Ide, Newcastle West",Co. Limerick,116,72%,81%,1,0,6,0,9,3,27,0,0,2,22,0,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0
"Scoil Pól, Kilfinane",Co. Limerick,79,72%,84%,0,0,1,1,10,1,7,0,0,6,17,0,1,0,1,0,0,7,1,4,0,0,0,0,0,0,0,0
