School,School County,LC sits 2021,2021 100% sits,2020 100% sits,DCU,Maynooth University,NUIG,Trinity,UCC,UCD,University of Limerick,RCSI,TU Dublin,MTU,TUS,Dundalk  IT,Galway-Mayo  IT,Dun Laoghaire  IADT,IT  Carlow,IT  Sligo,Letterkenny  IT,Waterford  IT,Marino Institute of Education,Mary Immaculate College,National College of Art & Design,"St Angela's College, Sligo",National College of Ireland,"St Patrick's, Carlow",DBS,Griffith College,"Queen's University, Belfast",University of Ulster
"St Ciaran's Community School, Kells",Co. Meath,93,63%,62%,8,7,0,4,2,2,1,0,11,0,1,11,5,0,1,2,0,3,0,0,0,0,0,0,0,0,1,0
"Coláiste Na Mí, Navan",Co. Meath,98,63%,60%,7,17,3,6,0,3,2,1,17,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"St Joseph's Mercy Secondary School, Navan",Co. Meath,112,61%,83%,9,17,1,7,2,4,2,0,11,2,0,4,2,0,0,2,0,0,1,0,0,3,0,0,1,0,0,0
"Coláiste Clavin, Enfield",Co. Meath,38,61%,44%,0,8,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0
"Coláiste Na hInse, Bettystown",Co. Meath,145,58%,74%,24,1,1,8,0,8,0,0,17,0,0,14,0,1,2,0,0,1,1,0,1,0,4,0,1,0,0,0
"Boyne Community School, Trim",Co. Meath,140,57%,92%,8,31,1,1,0,1,2,0,17,0,4,7,1,0,1,1,0,3,0,0,0,0,0,0,2,0,0,0
Athboy Community School,Co. Meath,110,56%,49%,4,11,1,4,0,4,1,0,16,0,6,3,1,1,1,0,1,3,0,1,0,1,1,0,0,1,0,1
"Beaufort College, Navan",Co. Meath,69,54%,56%,4,6,0,0,0,1,0,0,16,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"St Louis, Carrickmacross",Co. Monaghan,86,98%,92%,20,2,11,3,1,9,1,0,6,0,1,15,1,3,0,0,5,0,1,2,0,0,0,0,0,0,1,2
"Our Lady's Secondary School, Castleblayney",Co. Monaghan,99,92%,91%,23,6,4,4,0,9,3,0,4,0,4,17,3,0,2,4,6,0,0,0,0,0,0,0,0,0,1,1
"Patrician HS, Carrickmacross",Co. Monaghan,103,87%,75%,15,9,7,4,0,12,0,1,7,0,1,25,3,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0
"Coláiste Oiriall, Monaghan",Co. Monaghan,51,84%,85%,8,1,2,4,0,10,1,0,1,0,1,3,1,0,0,0,2,1,3,0,0,1,0,0,0,0,2,2
"Inver College, Carrickmacross",Co. Monaghan,32,81%,45%,6,0,0,0,0,0,3,0,3,0,1,9,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"St Louis Secondary School, Monaghan",Co. Monaghan,97,75%,97%,15,4,3,3,2,6,2,0,5,0,3,3,2,2,0,4,3,1,1,0,0,1,0,0,0,0,11,2
"St Macartan's College, Monaghan",Co. Monaghan,87,74%,100%,14,8,1,2,0,5,0,0,7,0,1,8,0,0,2,4,3,0,0,0,1,0,0,0,0,0,3,5
"Beech Hill College, Monaghan",Co. Monaghan,61,72%,81%,5,0,2,4,0,1,0,0,2,1,2,5,4,0,0,4,12,1,0,0,0,0,0,0,0,0,1,0
Monaghan Collegiate School,Co. Monaghan,32,72%,100%,1,0,0,0,0,3,0,0,1,0,0,6,0,0,0,1,2,0,0,0,0,1,0,0,0,0,4,4
"Largy College, Clones",Co. Monaghan,41,68%,85%,4,3,3,0,2,0,0,0,0,0,1,6,1,0,0,3,1,1,0,0,0,1,1,0,0,0,0,1
Ballybay Community College,Co. Monaghan,52,60%,88%,5,3,0,1,1,1,3,0,0,0,2,9,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0
Castleblayney College,Co. Monaghan,52,44%,88%,6,0,1,1,0,0,0,0,1,1,0,9,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
"Coláiste Naomh Cormac, Kilcormac",Co. Offaly,16,100%,100%,0,1,4,0,1,1,1,0,2,0,3,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"St Mary's Secondary School, Edenderry",Co. Offaly,125,94%,94%,19,27,4,1,1,7,3,1,9,2,26,1,0,1,3,1,0,6,1,0,1,0,0,0,2,1,0,0
"Sacred Heart Secondary School, Tullamore",Co. Offaly,109,85%,97%,5,10,7,9,4,6,13,2,4,0,16,1,5,0,2,1,0,5,0,1,0,0,1,0,1,0,0,0
"St Brendan's Community School, Birr",Co. Offaly,135,83%,91%,3,4,15,0,6,5,27,0,2,3,22,0,4,0,0,0,0,7,0,12,0,1,0,1,0,0,0,0
"Killina Secondary School, Rahan",Co. Offaly,76,78%,67%,7,8,6,2,2,3,5,1,1,1,14,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0
"Coláiste na Sionna, Banagher College",Co. Offaly,95,74%,88%,0,3,10,4,3,4,7,0,2,1,15,0,10,0,4,1,2,0,0,3,0,0,0,1,0,0,0,0
"Coláiste Choilm, Tullamore",Co. Offaly,103,70%,71%,5,8,13,4,2,6,8,0,1,1,7,0,12,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0
"Oaklands Community College, Edenderry",Co. Offaly,126,63%,61%,5,23,4,1,0,3,3,1,6,0,21,0,6,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0
"Gallen Community School, Ferbane",Co. Offaly,61,61%,75%,2,2,4,0,2,0,2,0,0,1,15,0,4,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
Tullamore College,Co. Offaly,108,59%,73%,5,7,9,1,1,7,3,0,0,1,20,0,5,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0
"Ard Scoil Chiaráin Naofa, Clara",Co. Offaly,42,48%,67%,1,5,2,0,0,0,1,0,0,0,7,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Elphin Community College,"Co. Roscommon
",13,100%,69%,0,1,1,0,1,0,3,0,0,0,2,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Convent  of Mercy, Roscommon","Co. Roscommon
",73,92%,100%,9,5,17,1,0,6,2,0,4,0,4,1,7,0,0,1,2,0,1,1,0,6,0,0,0,0,0,0
CBS Roscommon,"Co. Roscommon
",44,89%,87%,1,4,10,0,0,2,3,0,1,0,4,0,11,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
"St Nathy's College, Ballaghadereen","Co. Roscommon
",113,81%,81%,6,3,10,1,0,6,7,1,3,0,10,0,14,0,0,18,7,0,0,2,1,3,0,0,0,0,0,0
"Abbey Community College, Boyle","Co. Roscommon
",63,76%,70%,8,1,6,3,0,5,0,0,2,0,1,0,6,0,0,8,3,0,2,1,1,1,0,0,0,0,0,0
Castlerea Community School,"Co. Roscommon
",47,72%,97%,0,1,5,0,0,1,1,0,1,1,6,1,12,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0
"Scoil Mhuire, Strokestown","Co. Roscommon
",103,71%,86%,8,3,14,2,0,7,6,0,2,0,5,0,15,0,1,3,1,0,2,1,1,2,0,0,0,0,0,0
"Roscommon Community College, Lisnamult","Co. Roscommon
",76,67%,56%,2,1,10,0,0,1,0,0,3,0,15,1,7,0,0,5,0,0,2,2,0,1,0,0,0,0,0,1
"Coláiste Chiaráin, Athlone","Co. Roscommon
",46,41%,41%,0,2,4,0,0,0,1,0,2,1,3,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"Coláiste Muire, Ballymote",Co. Sligo,41,100%,78%,3,1,4,0,0,1,1,0,1,0,3,0,7,0,0,8,4,0,1,3,0,5,0,0,0,0,0,0
"Ursuline College, Sligo",Co. Sligo,143,88%,100%,18,5,21,10,2,20,5,0,2,2,1,0,2,0,0,20,4,0,4,2,1,5,0,0,0,0,2,0
"Coláiste Iascaigh, Easkey",Co. Sligo,22,86%,89%,1,1,4,0,0,0,2,0,0,0,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Coola Post-Primary School, Riverstown",Co. Sligo,72,85%,73%,5,7,10,1,1,4,3,0,1,0,1,0,3,0,0,15,3,0,1,0,0,4,0,0,1,0,0,1
"St Attracta's Community School, Tubbercurry",Co. Sligo,87,83%,71%,5,1,9,4,0,4,21,0,1,1,2,0,1,0,0,11,9,0,0,2,0,0,0,0,0,0,0,1
"Sligo Grammar School, Sligo",Co. Sligo,82,79%,74%,6,2,9,2,3,12,3,0,5,0,2,0,2,0,0,9,2,0,0,2,1,0,0,0,0,1,2,2
"Summerhill College, Sligo",Co. Sligo,147,76%,85%,7,4,23,6,1,4,2,0,7,1,1,0,9,0,0,42,2,1,0,0,0,1,0,0,1,0,0,0
"Grange Vocational School, Grange",Co. Sligo,21,76%,76%,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,8,1,0,1,0,1,0,0,0,0,0,0,0
"Mercy College, Sligo",Co. Sligo,60,70%,71%,9,2,6,4,1,0,3,0,2,1,1,0,1,0,0,9,0,0,0,0,0,2,0,0,0,0,1,0
"St Mary's College, Ballysadare",Co. Sligo,28,61%,86%,2,1,3,0,1,1,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,2,0,0,0,0,0,0
"Jesus And Mary Secondary School, Enniscrone",Co. Sligo,48,58%,85%,2,0,9,1,0,3,4,0,1,0,3,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
"Ballinode Community College, Sligo",Co. Sligo,22,45%,53%,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
"Presentation Secondary School, Thurles",Co. Tipperary,85,100%,100%,3,3,8,2,12,7,13,0,3,3,11,0,0,0,1,1,1,15,0,8,0,2,0,0,0,0,1,0
"St Mary's Secondary School, Nenagh",Co. Tipperary,59,100%,100%,5,2,3,3,10,0,14,0,1,2,5,0,1,1,0,1,0,6,0,8,0,1,0,0,0,0,0,0
"Cistercian College, Roscrea",Co. Tipperary,33,100%,98%,4,2,7,1,0,4,4,0,5,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ursuline Secondary School, Thurles",Co. Tipperary,116,100%,87%,2,1,7,11,18,11,14,1,3,8,16,0,1,0,0,1,1,11,1,11,0,1,0,0,0,0,0,0
"The Abbey School, Tipperary ",Co. Tipperary,54,96%,88%,1,0,2,0,9,0,6,1,0,7,13,0,2,0,1,0,0,8,0,2,0,0,0,0,0,0,0,0
"Scoil Mhuire, Carrick-on-Suir",Co. Tipperary,73,93%,97%,4,1,2,1,12,4,7,0,0,2,1,0,0,0,1,0,0,30,0,2,0,1,0,0,0,0,0,0
"Scoil Muire, Newport",Co. Tipperary,86,88%,91%,0,0,0,0,1,0,36,1,0,4,25,0,1,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0
"CBS High School, Clonmel",Co. Tipperary,116,88%,72%,0,2,2,1,16,1,17,0,7,27,8,0,0,0,1,0,0,17,0,3,0,0,0,0,0,0,0,0
"Rockwell College, Cashel",Co. Tipperary,82,88%,96%,2,2,0,3,8,7,16,0,4,7,6,0,1,0,2,0,0,11,0,2,0,0,0,0,0,0,1,0
Borrisokane Community College,Co. Tipperary,86,85%,63%,3,1,8,2,8,2,15,0,0,2,18,0,3,0,0,0,0,6,0,4,0,1,0,0,0,0,0,0
"Loreto Secondary School, Clonmel",Co. Tipperary,90,84%,89%,0,1,2,5,20,4,7,0,2,7,1,0,0,0,1,0,1,13,1,9,0,0,0,1,0,1,0,0
"St Joseph's CBS Secondary School, Nenagh",Co. Tipperary,74,84%,98%,0,1,1,0,4,1,19,0,1,2,20,0,3,0,1,0,0,4,0,5,0,0,0,0,0,0,0,0
CBS Carrick-on-Suir,Co. Tipperary,46,80%,69%,1,2,0,1,6,0,4,0,0,2,3,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0
"St Joseph's College, Borrisoleigh",Co. Tipperary,33,79%,95%,0,0,0,0,4,0,13,0,0,2,1,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Thurles CBS,Co. Tipperary,102,75%,78%,1,4,1,2,5,1,24,0,1,5,12,0,2,1,1,0,0,10,0,7,0,0,0,0,0,0,0,0
"St Anne's Secondary School, Tipperary",Co. Tipperary,52,73%,82%,0,0,2,1,3,1,11,0,0,1,6,0,2,1,0,0,1,5,0,3,0,0,0,0,0,0,0,1
"Presentation Secondary School, Ballingarry",Co. Tipperary,31,71%,62%,1,0,1,3,0,1,1,1,0,1,2,0,2,0,0,0,0,4,0,4,0,0,0,1,0,0,0,0
"St Ailbe's School, Tipperary",Co. Tipperary,42,69%,53%,0,0,3,1,2,0,1,0,0,4,12,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0
"Patrician Presentation Secondary School, Fethard",Co. Tipperary,16,69%,46%,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
Newport College,Co. Tipperary,24,67%,83%,0,0,0,0,2,1,3,0,0,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Coláiste Mhuire Co-Ed, Thurles",Co. Tipperary,31,65%,43%,1,0,1,0,1,0,4,0,1,0,7,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
"Presentation Secondary School, Clonmel",Co. Tipperary,81,64%,81%,1,2,4,0,12,2,8,0,0,3,1,0,0,0,1,0,0,15,0,2,0,0,0,0,1,0,0,0
"Coláiste Dun Iascaigh, Cahir",Co. Tipperary,105,64%,59%,2,1,0,0,12,1,2,0,0,16,11,0,0,0,1,0,0,13,0,6,0,2,0,0,0,0,0,0
Roscrea Community College,Co. Tipperary,83,59%,66%,1,2,1,0,2,1,12,0,0,2,13,1,2,0,1,1,0,5,0,5,0,0,0,0,0,0,0,0
Cashel Community School,Co. Tipperary,149,58%,86%,4,2,2,1,11,4,11,0,0,8,15,0,1,0,0,0,1,14,0,10,0,1,0,0,1,0,0,0
"Central Technical Institute, Clonmel",Co. Tipperary,35,57%,63%,0,0,1,0,1,2,3,0,0,2,2,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0
"Scoil Ruáin, Killenaule",Co. Tipperary,57,56%,78%,0,0,0,2,4,1,4,0,0,3,5,0,0,1,0,0,0,6,0,5,0,0,0,1,0,0,0,0
"Comeragh College, Carrick-on-Suir",Co. Tipperary,55,55%,56%,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,21,0,1,0,0,0,0,1,0,0,0
"Our Lady's Secondary School, Templemore",Co. Tipperary,105,54%,63%,0,1,2,1,8,2,23,0,1,1,7,0,0,0,2,2,0,5,0,2,0,0,0,0,0,0,0,0
Nenagh College,Co. Tipperary,77,45%,48%,0,1,3,0,1,0,8,0,1,0,15,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
"Ard Scoil Na Mara, Tramore",Co. Waterford,178,100%,86%,2,2,10,0,23,4,24,0,2,6,1,0,2,1,0,1,0,96,1,3,1,0,0,0,0,0,0,0
"Gaelcholáiste Phort Láirge,  Waterford",Co. Waterford,15,100%,100%,0,0,1,0,4,1,0,1,0,2,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0
"St Angela's Ursuline, Waterford",Co. Waterford,129,98%,97%,5,5,3,3,21,5,5,0,1,8,6,0,0,0,1,0,0,49,1,10,0,1,0,2,0,0,1,0
"Our Lady Of Mercy, Waterford",Co. Waterford,68,94%,100%,0,1,0,4,5,2,2,0,1,2,1,0,0,0,0,0,2,44,0,0,0,0,0,0,0,0,0,0
"St Augustine's College, Dungarvan",Co. Waterford,120,93%,90%,2,0,4,2,35,2,16,0,1,15,2,1,0,0,2,0,0,21,0,8,0,0,0,0,0,0,0,1
"Presentation Secondary School, Waterford",Co. Waterford,42,90%,100%,0,1,0,2,3,0,1,0,1,2,1,1,0,0,2,0,0,23,0,1,0,0,0,0,0,0,0,0
"Waterpark College, Waterford",Co. Waterford,89,89%,81%,2,3,0,2,13,3,6,0,0,3,0,0,0,0,1,0,0,45,0,0,1,0,0,0,0,0,0,0
"De La Salle, Waterford",Co. Waterford,187,87%,99%,1,4,5,3,20,3,14,0,2,2,5,0,0,0,5,1,0,92,1,2,1,0,0,0,0,0,2,0
"Mean Scoil San Nioclás, Ring",Co. Waterford,13,85%,85%,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Ard Scoil Na nDéise, Dungarvan",Co. Waterford,67,84%,100%,2,0,0,4,14,0,4,0,1,1,2,0,0,0,0,0,0,17,1,7,0,2,0,0,0,0,1,0
"Newtown School, Waterford",Co. Waterford,63,79%,75%,1,1,2,6,8,6,4,0,2,4,0,0,0,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0
"Abbey Community College, Waterford",Co. Waterford,139,77%,93%,2,3,3,1,14,1,8,0,2,5,2,0,0,0,5,0,1,56,0,1,0,1,1,1,0,0,0,0
"St Declan's Community College, Kilmacthomas",Co. Waterford,109,75%,84%,0,3,0,0,8,1,2,1,0,5,1,0,1,0,2,0,0,53,0,2,2,1,0,0,0,0,0,0
"St Paul's Community College, Waterford",Co. Waterford,71,69%,84%,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
"Blackwater Community, Lismore",Co. Waterford,101,67%,84%,1,1,2,1,18,1,14,0,1,11,1,0,0,0,0,0,0,11,0,5,0,0,0,0,0,1,0,0
Dungarvan College,Co. Waterford,28,61%,48%,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
"CBS Mount Sion, Waterford",Co. Waterford,40,53%,79%,0,0,0,0,2,0,4,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0
Dungarvan CBS,Co. Waterford,47,49%,60%,0,0,0,0,4,1,3,0,0,3,1,0,0,0,1,0,0,8,0,2,0,0,0,0,0,0,0,0
"Our Lady's Bower, Athlone",Co. Westmeath,108,97%,96%,12,5,26,8,5,11,2,0,4,0,24,0,2,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0
"Marist College, Athlone",Co. Westmeath,82,87%,92%,5,4,12,2,0,7,7,0,2,0,23,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Athlone Community College,Co. Westmeath,176,85%,96%,9,6,32,8,3,12,7,1,5,0,42,0,15,1,0,4,1,0,1,1,0,2,0,0,0,0,0,0
"Mercy Secondary School, Kilbeggan ",Co. Westmeath,88,82%,84%,8,9,7,5,0,6,4,1,2,0,18,0,6,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0
"Loreto College, Mullingar",Co. Westmeath,145,81%,90%,16,19,16,10,0,20,1,0,7,3,15,0,2,0,0,2,1,0,1,0,0,2,0,0,0,1,1,0
"St Finian's College, Mullingar",Co. Westmeath,131,77%,87%,14,23,6,5,1,11,2,1,8,1,15,2,3,0,0,4,0,1,2,1,0,1,0,0,0,0,0,0
"Coláiste Mhuire, Mullingar",Co. Westmeath,107,75%,86%,5,19,7,4,0,8,1,0,8,1,14,0,9,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
"Wilson's Hospital School, Multyfarnham",Co. Westmeath,58,74%,82%,7,4,2,5,0,5,0,0,7,0,5,0,1,1,0,0,2,2,0,0,0,0,1,0,1,0,0,0
"St Joseph's Secondary School, Rochfordbridge",Co. Westmeath,136,71%,75%,9,11,7,4,1,9,6,0,9,0,23,2,4,0,0,3,0,1,0,0,2,4,0,0,0,1,0,1
"Columba College, Killucan",Co. Westmeath,38,71%,45%,5,6,0,3,0,0,0,0,1,0,8,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Moate Community School,Co. Westmeath,151,66%,88%,7,9,16,4,2,10,13,0,4,0,17,1,7,0,1,2,0,1,0,4,0,1,0,0,0,0,0,0
Castlepollard Community College,Co. Westmeath,41,41%,65%,2,3,0,1,0,3,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
Mullingar Community College,Co. Westmeath,40,40%,38%,0,0,1,0,0,0,0,0,1,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coláiste An Átha, Kilmuckridge",Co. Wexford,29,100%,83%,1,3,0,1,1,2,0,0,2,1,0,0,0,0,4,0,0,14,0,0,1,0,1,0,0,0,0,0
"Loreto Secondary School, Wexford",Co. Wexford,114,100%,85%,19,8,6,2,15,14,8,0,5,2,0,0,0,5,4,0,0,19,2,1,2,0,1,3,0,0,0,0
"Our Lady Of Lourdes, New Ross",Co. Wexford,46,98%,100%,4,3,0,0,5,0,5,0,1,1,0,1,0,1,4,1,0,15,0,1,1,2,0,0,0,0,0,0
"St Peter's College, Wexford",Co. Wexford,133,96%,91%,14,10,4,5,3,25,6,1,10,3,1,0,1,1,3,1,0,35,0,1,1,0,0,1,1,0,1,0
"FCJ Secondary School, Bunclody",Co. Wexford,144,94%,87%,12,17,5,6,2,17,19,2,12,2,1,0,1,2,11,0,0,22,0,2,0,2,0,1,0,0,0,0
"St Mary's Secondary School, New Ross",Co. Wexford,102,93%,93%,2,3,6,5,11,6,3,0,3,3,1,1,0,2,1,0,0,36,1,10,0,0,0,0,0,0,0,1
"Meanscoil Garman, Enniscorthy",Co. Wexford,27,89%,86%,1,2,1,4,0,6,2,0,1,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0
Gorey Community School,Co. Wexford,234,86%,84%,33,29,0,12,0,35,1,0,30,1,2,0,1,4,17,1,0,21,3,0,5,1,2,2,1,0,1,0
"Coláiste Bríde, Enniscorthy",Co. Wexford,99,86%,88%,5,10,2,3,2,7,2,0,7,0,2,0,0,0,14,0,0,26,1,2,1,0,0,0,0,0,1,0
"Presentation Secondary School, Wexford",Co. Wexford,131,79%,86%,7,13,5,2,16,7,6,0,1,4,0,0,0,3,7,1,0,26,2,1,0,0,0,0,1,0,0,1
"Good Counsel College, New Ross",Co. Wexford,136,75%,90%,5,1,0,1,4,17,15,0,2,2,0,0,0,1,7,0,0,40,0,7,0,0,0,0,0,0,0,0
Bridgetown College,Co. Wexford,96,73%,59%,2,2,1,0,0,2,8,0,3,3,2,0,3,0,12,0,1,24,1,2,3,0,0,0,1,0,0,0
Ramsgrange Community School,Co. Wexford,55,73%,69%,2,1,2,1,2,0,2,0,1,1,0,0,1,1,0,0,0,25,0,0,0,0,0,1,0,0,0,0
"Creagh College, Gorey",Co. Wexford,107,67%,68%,7,12,1,2,0,7,3,0,7,1,0,0,3,3,12,0,0,8,0,0,0,0,1,1,2,2,0,0
"CBS Secondary School, New Ross",Co. Wexford,61,67%,73%,2,6,1,1,2,3,1,0,0,2,0,0,0,0,4,0,0,18,0,0,0,0,0,1,0,0,0,0
"St Mary's CBS, Enniscorthy",Co. Wexford,119,65%,75%,9,7,1,0,1,6,7,0,6,2,1,0,1,1,9,0,0,24,0,0,0,0,1,1,0,0,0,0
"Coláiste Abbáin, Adamstown",Co. Wexford,28,64%,45%,1,1,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,8,0,0,0,0,0,0,0,0,0,0
Wexford CBS,Co. Wexford,118,60%,68%,10,6,3,4,0,7,4,0,5,5,0,0,0,1,4,0,0,20,0,1,0,0,0,1,0,0,0,0
"Selskar College, Wexford",Co. Wexford,60,52%,56%,3,1,0,0,0,2,2,0,1,0,0,0,1,1,5,0,0,15,0,0,0,0,0,0,0,0,0,0
Enniscorthy Vocational College,Co. Wexford,84,44%,67%,0,4,0,1,1,1,2,0,1,1,2,1,0,0,6,0,0,16,0,0,1,0,0,0,0,0,0,0
"Kennedy College, New Ross",Co. Wexford,23,35%,11%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0
"St Gerard's School, Bray",Co. Wicklow,85,100%,100%,2,1,6,16,0,37,1,0,26,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Loreto Secondary School, Bray",Co. Wicklow,118,91%,91%,6,6,3,13,0,32,1,1,23,0,1,0,1,9,0,1,0,1,2,0,0,1,4,0,2,0,0,0
Presentation College Bray,Co. Wicklow,96,89%,85%,2,2,1,10,0,23,1,0,34,0,0,0,0,6,2,0,0,0,0,0,0,0,3,0,1,0,0,0
"Templecarrig Secondary School, Greystones",Co. Wicklow,125,88%,74%,3,5,3,14,2,39,2,0,28,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"Gaelcholáiste Na Mara, Arklow",Co. Wicklow,25,88%,77%,4,0,2,2,0,8,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0
"Dominican Convent, Wicklow",Co. Wicklow,57,86%,89%,7,8,2,0,1,14,0,0,5,0,2,0,0,1,2,0,0,0,2,0,0,0,0,0,3,1,1,0
"East Glendalough Comprehensive School, Wicklow",Co. Wicklow,54,85%,97%,3,2,1,5,3,11,2,0,8,0,0,0,0,4,1,0,0,2,0,0,1,1,0,0,1,0,1,0
"Avondale Community College, Rathdrum",Co. Wicklow,61,84%,50%,4,7,1,0,0,11,4,0,2,4,1,0,2,1,9,0,0,3,0,0,1,0,0,0,1,0,0,0
"Coláiste Bhríde, Carnew",Co. Wicklow,117,83%,91%,17,10,1,6,3,10,13,0,10,0,3,2,3,0,6,0,0,11,1,1,0,0,0,0,0,0,0,0
"St David's Holy Faith Secondary School, Greystones",Co. Wicklow,79,82%,96%,3,2,0,7,0,12,1,0,19,0,0,0,2,9,2,0,0,2,0,0,4,1,1,0,0,0,0,0
Blessington Community College,Co. Wicklow,78,81%,73%,2,16,2,3,0,6,0,0,21,0,0,0,1,2,4,1,0,2,0,1,0,0,1,0,0,1,0,0
"St Kevin's Community College, Dunlavin",Co. Wicklow,98,81%,79%,8,10,4,3,1,8,4,0,14,1,2,0,5,4,8,0,0,6,0,0,0,0,0,0,1,0,0,0
Arklow CBS,Co. Wicklow,59,80%,86%,2,8,2,1,0,4,0,0,5,0,0,0,2,1,17,0,0,3,0,0,0,0,0,1,0,1,0,0
"St Mary's College, Arklow",Co. Wicklow,97,78%,74%,11,13,8,3,0,13,1,0,4,0,1,1,2,2,3,0,0,8,1,0,0,2,2,1,0,0,0,0
"Coláiste Raithín, Bray",Co. Wicklow,41,76%,86%,2,0,0,2,1,10,1,0,7,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Coláiste Chraobh Abhann, Kilcoole",Co. Wicklow,106,71%,70%,3,11,2,1,0,14,0,0,22,2,1,1,2,6,3,0,0,3,0,0,0,0,4,0,0,0,0,0
"Scoil Chonglais Post-Primary, Baltinglass",Co. Wicklow,112,64%,54%,7,6,4,3,1,9,2,0,3,1,3,0,3,1,15,0,0,5,1,3,1,1,0,3,0,0,0,0
"Woodbrook College, Bray",Co. Wicklow,47,60%,54%,1,2,0,3,0,2,2,0,14,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Coláiste Chill Mhantáin, Wicklow",Co. Wicklow,135,56%,63%,8,3,2,4,2,14,0,0,19,1,0,0,1,2,2,0,0,6,1,1,2,1,2,1,3,0,0,0
"St Kilian's Community School, Bray",Co. Wicklow,62,52%,41%,3,1,0,3,0,4,0,0,12,0,0,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0
"Glenart College, Arklow",Co. Wicklow,62,31%,0%,0,0,0,1,0,3,1,0,1,1,0,0,0,1,6,0,0,3,0,0,0,0,0,2,0,0,0,0
